SNo,Surname,OtherNames,CountyCode,County,ConstituencyCode,ConstituencyName,CAWCode,CAWName,PartyCode,PartyName,PartyAbbreviation,ElectionType
75,Maalim,Diriye Ibrahim,007,Garissa,031,Fafi,0155,Fafi,015,United Democratic Alliance,UDA,County Assembly
76,Joel,Richard Nzioki,016,Machakos,081,Machakos Town,0402,Mumbuni North,036,Chama Cha Uzalendo,CCU,County Assembly
77,Muli,Nzomo,,016,Machakos,081,Machakos Town,0402,Mumbuni North,078,Grand Dream Development Party,GDDP,County Assembly
78,Wambua,Stephen Kilonzo,016,Machakos,081,Machakos Town,0402,Mumbuni North,011,Kenya Moja Movement,KMM,County Assembly
79,Mutuku,Harrison Wambua,016,Machakos,081,Machakos Town,0402,Mumbuni North,067,Maendeleo Chap Chap Party,MCCP,County Assembly
80,Mbatha,Carlweathers Mutisya,016,Machakos,081,Machakos Town,0402,Mumbuni North,071,National Liberal Party,NLP,County Assembly
81,Mutiso,Stephen Nzioka,016,Machakos,081,Machakos Town,0402,Mumbuni North,007,Party of independent Candidate of Kenya,PICK,County Assembly
82,Muia,Stephen Mutua,016,Machakos,081,Machakos Town,0402,Mumbuni North,025,Progressive Party of Kenya,PPOK,County Assembly
83,Muema,Jones Benson,016,Machakos,081,Machakos Town,0402,Mumbuni North,066,People's Trust Party,PTP,County Assembly
84,Mutua,Misi,,016,Machakos,081,Machakos Town,0402,Mumbuni North,015,United Democratic Alliance,UDA,County Assembly
85,Nzioki,Naomi Nduku,016,Machakos,081,Machakos Town,0402,Mumbuni North,081,United Progressive Alliance,UPA,County Assembly
86,Kyalo,Antony,,016,Machakos,081,Machakos Town,0402,Mumbuni North,012,Wiper Patriotic Front,WPF,County Assembly
87,Lochilli,Stephen Ekiru,023,Turkana,123,Turkana North,0612,Lake Zone,021,Orange Democratic Movement,ODM,County Assembly
88,Erot,John Namesek,023,Turkana,123,Turkana North,0612,Lake Zone,015,United Democratic Alliance,UDA,County Assembly
89,John,Meyan,023,Turkana,123,Turkana North,0612,Lake Zone,041,United Democratic Movement,UDM,County Assembly
90,Lokaalei,Hashim Kerio,023,Turkana,124,Turkana West,0623,Nanaan,023,Forum for Restoration of Democracy - Kenya,FORD-KENYA,County Assembly
91,Eruth,Francis Mio,023,Turkana,124,Turkana West,0623,Nanaan,011,Kenya Moja Movement,KMM,County Assembly
92,Yussuf,Mohammed Ahmed,023,Turkana,124,Turkana West,0623,Nanaan,021,Orange Democratic Movement,ODM,County Assembly
93,Napelkar,Cosmas Longor,023,Turkana,124,Turkana West,0623,Nanaan,015,United Democratic Alliance,UDA,County Assembly
94,Lenkupae,Pruline Nasieku,025,Samburu,134,Samburu North,0670,Angata Nanyokie,037,National Agenda Party of Kenya,NAP-K,County Assembly
95,Loisia,Letoluai,025,Samburu,134,Samburu North,0670,Angata Nanyokie,021,Orange Democratic Movement,ODM,County Assembly
96,Leshimpiroo,Isabella,025,Samburu,134,Samburu North,0670,Angata Nanyokie,015,United Democratic Alliance,UDA,County Assembly
97,Leting,Shaffle Korir,029,Nandi,154,Chesumei,0765,Chemundu/Kapng'etuny,033,Kenya African National Union,KANU,County Assembly
98,Kipchumba,David Too,029,Nandi,154,Chesumei,0765,Chemundu/Kapng'etuny,0100,The Equitable Party,TEP,County Assembly
99,Kirwa,Robert Kipchirchir,029,Nandi,154,Chesumei,0765,Chemundu/Kapng'etuny,040,The New Democrats,TND,County Assembly
100,Ruto,Vincent Kiplimo,029,Nandi,154,Chesumei,0765,Chemundu/Kapng'etuny,015,United Democratic Alliance,UDA,County Assembly
101,Masikonde,Douglas Twala,033,Narok,179,Narok North,0893,Narok Town,0103,Democracy for the Citizens Party,DCP,County Assembly
102,Nkere,Tobiko Mbugua,033,Narok,179,Narok North,0893,Narok Town,013,Democratic Party of Kenya,DP,County Assembly
103,Sino,Peter Odhiambo,033,Narok,179,Narok North,0893,Narok Town,093,Entrust Pioneer Party,EPP,County Assembly
104,Kaputah,Joshua Kitaro,033,Narok,179,Narok North,0893,Narok Town,027,Jubilee Party,JP,County Assembly
105,Kago,Ian Duncan,033,Narok,179,Narok North,0893,Narok Town,011,Kenya Moja Movement,KMM,County Assembly
106,Pere,Alfred Kailet,033,Narok,179,Narok North,0893,Narok Town,021,Orange Democratic Movement,ODM,County Assembly
107,Ndungu,Anthony Gichuki,033,Narok,179,Narok North,0893,Narok Town,058,Republican Liberty Party,RLP,County Assembly
108,Opondo,Musinya Okuparu,033,Narok,179,Narok North,0893,Narok Town,034,Safina Party,SAFINA,County Assembly
109,Kudate,Robert Kanyinke Ole,033,Narok,179,Narok North,0893,Narok Town,015,United Democratic Alliance,UDA,County Assembly
110,Njapit,Felix Johanah,033,Narok,179,Narok North,0893,Narok Town,064,United Democratic Party,UDP,County Assembly
111,Ontita,Erick,033,Narok,179,Narok North,0893,Narok Town,081,United Progressive Alliance,UPA,County Assembly
112,Tirike,Evanson Parsimei,033,Narok,179,Narok North,0893,Narok Town,012,Wiper Patriotic Front,WPF,County Assembly
113,Saidimu,Sanare Tipatet,034,Kajiado,184,Kajiado Central,0916,Purko,0103,Democracy for the Citizens Party,DCP,County Assembly
114,Naikuni,Daniel Turpesio,034,Kajiado,184,Kajiado Central,0916,Purko,021,Orange Democratic Movement,ODM,County Assembly
115,Mpusia,Amos Maayiai,034,Kajiado,184,Kajiado Central,0916,Purko,015,United Democratic Alliance,UDA,County Assembly
