S/No,Certificate Serial No.,Name of the Party,Abbreviation,Certificate Date of Issue,Symbol,Colors,Postal Address of Party,Location of Head Office of Party,Slogan,Changes
82,094,Party for Growth and Prosperity,PGP,8th December 2021,Encircled Trophy,"Blue, Little Green",41123-00100 Nairobi,"104 Mwingi Road, Nairobi",,
83,095,Green Thinking Action Party,GTAP,18th October 2021,Growing Money,"Green, Yellow, Red",9164-00200 Nairobi,"KICC Building, Lg 12 Hazanhee Avenue",,
84,096,National Democracy Expansion Party,NDEP,20th December 2021,Blue Water Tank on White background,"Red, Violet, White, Yellow, Blue",35710-00200 Nairobi,"Reil House, 3rd Floor, Room 319 Nairobi",,
85,097,United Change Party,UCP,18th October 2021,Blue Oval with party initials,"Blue, White",160/00518 Nairobi,"Kwa Ngiroki, Kiki Town",,
86,098,Universal Unity Party,UUP,16th March 2022,Crown,"Crown Pink, White, Black, Red",296-00618, Nairobi,Ruanda, Nairobi,"Haki na Usawa kwa Wote",
87,099,Chama cha Mabadiliko Kenya,CYMK,16th March 2022,Globe,"Red, Black, White",51364-00100 Nairobi,Hurlingham, Nairobi,,
88,0100,The Equitable Party,TEP,25th March, 2022,Weighing scale,"Gold, Emerald",7149-00200, Nairobi,"Mito Andei Rd - Off Lenana Rd, Nairobi",Tusawazishe,
89,0101,Azimio la Umoja One Kenya Coalition Party,Azimio,21st April, 2022,Five Stars against a blue background in the midst of the party name,"Blue, Orange, White",P.O Box 10311-00100, Nairobi,"Azimio House, House No. 105, Demis Pint Road, Nairobi","Azimio: Inawaziana",
90,0102,The We Alliance Party,TWAP,3rd February, 2005,,"Yellow, Blue",P.O Box 53604-00200, Nairobi,"White House Building, S4, Opposite Imara Primary School, off Kayde Road, Nairobi","Power to the people",
91,0103,Democracy for the Citizens Party,DCP,3rd February, 2025,,"Green, Brown, Black","P. O Box 2627-0100, Nairobi","Musa Giau Road, Multhangari Drive.","Sidza Wakanya",
