SNo,Surname,OtherNames,CountyCode,County,ConstituencyCode,ConstituencyName,CAWCode,CAWName,PartyCode,PartyName,PartyAbbreviation,ElectionType,Contested
126,Okumali,Douglas Shirote,037,Kakamega,208,Khwisero,1038,Kisa East,064,United Democratic Party,UDP,County Assembly,Yes
127,Kutswa,Phanice Sebenzia,039,Bungoma,218,Kabuchai,1085,Kabuchai/Chwele,085,Democratic Action Party - Kenya,DAP-K,County Assembly,Yes
128,Maunda,Vincent Wekesa,039,Bungoma,218,Kabuchai,1085,Kabuchai/Chwele,023,Forum for Restoration of Democracy - Kenya,FORD-KENYA,County Assembly,Yes
129,Wekesa,Eric,,039,Bungoma,218,Kabuchai,1085,Kabuchai/Chwele,IND,Independent,IND,County Assembly,Yes
130,Barasa,Samwel Joel,039,Bungoma,218,Kabuchai,1085,Kabuchai/Chwele,077,Justice and Freedom Party of Kenya,JFP,County Assembly,Yes
131,Wanyonyi,Evans Barasa,039,Bungoma,218,Kabuchai,1085,Kabuchai/Chwele,011,Kenya Moja Movement,KMM,County Assembly,Yes
132,Tanganyika,Dan Simiyu,039,Bungoma,218,Kabuchai,1085,Kabuchai/Chwele,0100,The Equitable Party,TEP,County Assembly,Yes
133,Totli,Margaret Nabwala,039,Bungoma,218,Kabuchai,1085,Kabuchai/Chwele,040,The New Democrats,TND,County Assembly,Yes
134,Mukhongo,Kizito Matimbai,039,Bungoma,218,Kabuchai,1085,Kabuchai/Chwele,0102,The We Alliance Party,TWAP,County Assembly,Yes
135,Murunga,Elizabeth Situma,039,Bungoma,218,Kabuchai,1085,Kabuchai/Chwele,015,United Democratic Alliance,UDA,County Assembly,Yes
136,Saul,Twabe Nyonga,046,Nyamira,271,West Mugirango,1352,Nyamaiya,0103,Democracy for the Citizens Party,DCP,County Assembly,Yes
137,Nyambati,Evans James,046,Nyamira,271,West Mugirango,1352,Nyamaiya,090,Democratic National Alliance,DNA,County Assembly,Yes
138,Omboto,Richard Monyancha,046,Nyamira,271,West Mugirango,1352,Nyamaiya,087,Chama Cha Kazi,KAZI,County Assembly,Yes
139,Kihore,Martin Nyangan,046,Nyamira,271,West Mugirango,1352,Nyamaiya,021,Orange Democratic Movement,ODM,County Assembly,Yes
140,Sese,Rose Mona,046,Nyamira,271,West Mugirango,1352,Nyamaiya,025,Progressive Party of Kenya,PPOK,County Assembly,Yes
141,Nyandieka,Thomas Onchaba,046,Nyamira,271,West Mugirango,1352,Nyamaiya,015,United Democratic Alliance,UDA,County Assembly,Yes
142,Christopher,Moturi Osiemo,046,Nyamira,271,West Mugirango,1352,Nyamaiya,081,United Progressive Alliance,UPA,County Assembly,Yes
143,Nyangaresi,Daniel Amoro,046,Nyamira,271,West Mugirango,1352,Nyamaiya,046,United Party of Independent Alliance,UPIA,County Assembly,Yes
144,Tweya,James Tweya,046,Nyamira,271,West Mugirango,1352,Nyamaiya,012,Wiper Patriotic Front,WPF,County Assembly,Yes
145,Nyang'au,Silus Kerosi,046,Nyamira,272,North Mugirango,1361,Ekerenyo,055,Alliance for Change Party,AFC,County Assembly,Yes
146,Kongo,Dominic Gesora,046,Nyamira,272,North Mugirango,1361,Ekerenyo,0103,Democracy for the Citizens Party,DCP,County Assembly,Yes
147,Ongori,Margret Nyanchama,046,Nyamira,272,North Mugirango,1361,Ekerenyo,023,Forum for Restoration of Democracy - Kenya,FORD-KENYA,County Assembly,Yes
148,Morara,Hyline Kerubo,046,Nyamira,272,North Mugirango,1361,Ekerenyo,009,Kenya National Congress,KNC,County Assembly,Yes
149,Mong'iti,Philip Masenge,046,Nyamira,272,North Mugirango,1361,Ekerenyo,019,Kenya Social Congress,KSC,County Assembly,Yes
150,Nyamasege,Nicoluse Omoti,046,Nyamira,272,North Mugirango,1361,Ekerenyo,044,Party of Democratic Unity,PDU,County Assembly,Yes
151,Ndubi,Francis Amenya,046,Nyamira,272,North Mugirango,1361,Ekerenyo,015,United Democratic Alliance,UDA,County Assembly,Yes
152,Ongaro,Jeremiah Njenga,046,Nyamira,272,North Mugirango,1361,Ekerenyo,081,United Progressive Alliance,UPA,County Assembly,Yes
153,Nyanumba,Shem Makori,046,Nyamira,272,North Mugirango,1361,Ekerenyo,012,Wiper Patriotic Front,WPF,County Assembly,Yes
154,Oeri,John Obai,046,Nyamira,273,Borabu,1364,Nyansiongo,013,Democratic Party of Kenya,DP,County Assembly,Yes
155,Mosebi,Alexander Mogeni,046,Nyamira,273,Borabu,1364,Nyansiongo,033,Kenya African National Union,KANU,County Assembly,Yes
156,Moganda,Ogata,,046,Nyamira,273,Borabu,1364,Nyansiongo,011,Kenya Moja Movement,KMM,County Assembly,Yes
157,Mogaka,Dickson Machungo,046,Nyamira,273,Borabu,1364,Nyansiongo,021,Orange Democratic Movement,ODM,County Assembly,Yes
158,Mochumbe,Jackson Mogusu,046,Nyamira,273,Borabu,1364,Nyansiongo,039,Peoples Democratic Party,PDP,County Assembly,Yes
159,Onsase,Vincent Nyanchoka,046,Nyamira,273,Borabu,1364,Nyansiongo,025,Progressive Party of Kenya,PPOK,County Assembly,Yes
160,Nyaribo,Dennis Kebaso,046,Nyamira,273,Borabu,1364,Nyansiongo,015,United Democratic Alliance,UDA,County Assembly,Yes
161,Omwancha,Kevin Maranga,046,Nyamira,273,Borabu,1364,Nyansiongo,081,United Progressive Alliance,UPA,County Assembly,Yes
162,Nyantika,Alex Obare,046,Nyamira,273,Borabu,1364,Nyansiongo,012,Wiper Patriotic Front,WPF,County Assembly,Yes
163,Mbutiha,Joseph Macharia,047,Nairobi City,283,Embakasi North,1411,Kariobangi North,055,Alliance for Change Party,AFC,County Assembly,Yes
164,Warui,David Wanyolke,047,Nairobi City,283,Embakasi North,1411,Kariobangi North,0103,Democracy for the Citizens Party,DCP,County Assembly,Yes
165,Mala,Daniel Odhiambo,047,Nairobi City,283,Embakasi North,1411,Kariobangi North,IND,Independent,IND,County Assembly,Yes
166,Kimanzi,John Katua,047,Nairobi City,283,Embakasi North,1411,Kariobangi North,IND,Independent,IND,County Assembly,Yes
167,Mukuni,Simon Kageche,047,Nairobi City,283,Embakasi North,1411,Kariobangi North,052,Jirani Mzalendo Asili Party of Kenya,J-MAPK,County Assembly,Yes
168,Ng'ang'a,Peter Kariuki,047,Nairobi City,283,Embakasi North,1411,Kariobangi North,033,Kenya African National Union,KANU,County Assembly,Yes
169,Mukoya,Gabriel Ormondi,047,Nairobi City,283,Embakasi North,1411,Kariobangi North,011,Kenya Moja Movement,KMM,County Assembly,Yes
170,Agutu,Geoffrey Owino,047,Nairobi City,283,Embakasi North,1411,Kariobangi North,031,Kenya Patriots Party,KPP,County Assembly,Yes
171,Mwema,Charles Evans,047,Nairobi City,283,Embakasi North,1411,Kariobangi North,071,National Liberal Party,NLP,County Assembly,Yes
172,Majua,Michael Ouma,047,Nairobi City,283,Embakasi North,1411,Kariobangi North,021,Orange Democratic Movement,ODM,County Assembly,Yes
173,Kithu,John Njeru,047,Nairobi City,283,Embakasi North,1411,Kariobangi North,044,Party of Democratic Unity,PDU,County Assembly,Yes
174,Ochieng,Christopher Wandera,047,Nairobi City,283,Embakasi North,1411,Kariobangi North,034,Safina Party,SAFINA,County Assembly,Yes
175,Njoka,Julius Maina,047,Nairobi City,283,Embakasi North,1411,Kariobangi North,015,United Democratic Alliance,UDA,County Assembly,Yes
176,Musyoka,Antony Ndeto,047,Nairobi City,283,Embakasi North,1411,Kariobangi North,045,Umoja Na Maendeleo Party,UMP,County Assembly,Yes
177,Naftal,Onchari Nyaberi Ongeri,047,Nairobi City,283,Embakasi North,1411,Kariobangi North,081,United Progressive Alliance,UPA,County Assembly,Yes
178,Munyoki,Kavali,,047,Nairobi City,283,Embakasi North,1411,Kariobangi North,012,Wiper Patriotic Front,WPF,County Assembly,Yes
179,Tobosei,Reuben Kigen,027,Uasin Gishu,143,Moiben,0714,Tembelio,015,United Democratic Alliance,UDA,County Assembly,No
180,Kiprutto,Philip Kipkosgei,028,Elgeyo Marakwet,150,Keiyo South,0750,Metkei,015,United Democratic Alliance,UDA,County Assembly,No
